year,month,ndvi,baseline_ndvi,anomaly
2021,1,0.0518901402939643,0.05219431207708034,-0.00030417178311604315
2021,2,0.0414637242841017,0.0517091289415844,-0.0102454046574827
2021,3,0.0745337735084807,0.06729030014547376,0.007243473363006944
2021,4,0.1055271878827975,0.09831379439539034,0.007213393487407155
2021,5,0.1808309467584503,0.17756137058226446,0.00326957617618584
2021,6,0.2645735431942944,0.26056014177325376,0.004013401421040619
2021,7,0.277603171596579,0.27714444961546414,0.0004587219811148513
2021,8,0.260012239412419,0.26844620858036616,-0.008433969167947142
2021,9,0.235697047347412,0.23446401933695715,0.0012330280104548563
2021,10,0.1599256665869333,0.1655249602438828,-0.0055992936569495
2021,11,0.1032645686599654,0.09188501313297084,0.011379555526994559
2021,12,0.0663758886683615,0.0650824850890005,0.0012934035793610021
2022,1,0.0532357365977168,0.05219431207708034,0.0010414245206364567
2022,2,0.0571382639471864,0.0517091289415844,0.005429135005602
2022,3,0.0621022871794788,0.06729030014547376,-0.005188012965994956
2022,4,0.0782684994825518,0.09831379439539034,-0.020045294912838546
2022,5,0.1470814219398398,0.17756137058226446,-0.030479948642424648
2022,6,0.2526374751644187,0.26056014177325376,-0.00792266660883506
2022,7,0.2856955610555093,0.27714444961546414,0.008551111440045167
2022,8,0.2807170605528999,0.26844620858036616,0.012270851972533747
2022,9,0.2527613372200604,0.23446401933695715,0.018297317883103237
2022,10,0.1796879824356066,0.1655249602438828,0.0141630221917238
2022,11,0.07835692441339,0.09188501313297084,-0.013528088719580847
2022,12,0.0544225354600928,0.0650824850890005,-0.010659949628907699
2023,1,0.0428308581125993,0.05219431207708034,-0.009363453964481044
2023,2,0.0460230268572755,0.0517091289415844,-0.005686102084308899
2023,3,0.052992609226365,0.06729030014547376,-0.014297690919108756
2023,4,0.0866799679824761,0.09831379439539034,-0.011633826412914244
2023,5,0.1920041605439522,0.17756137058226446,0.014442789961687741
2023,6,0.2689665277102717,0.26056014177325376,0.008406385937017924
2023,7,0.2625833261932558,0.27714444961546414,-0.014561123422208333
2023,8,0.2567895785262514,0.26844620858036616,-0.01165663005411477
2023,9,0.2196367168774149,0.23446401933695715,-0.014827302459542252
2023,10,0.1574679836277141,0.1655249602438828,-0.008056976616168693
2023,11,0.0960138696566705,0.09188501313297084,0.004128856523699653
2023,12,0.0856497574809673,0.0650824850890005,0.020567272391966804
2024,1,0.0596686983872227,0.05219431207708034,0.007474386310142356
2024,2,0.0671722723759986,0.0517091289415844,0.015463143434414198
2024,3,0.0798716516357717,0.06729030014547376,0.012581351490297946
2024,4,0.1175949866195513,0.09831379439539034,0.019281192224160956
2024,5,0.1876222268144413,0.17756137058226446,0.01006085623217684
2024,6,0.266539405472985,0.26056014177325376,0.00597926369973123
2024,7,0.2778408413798281,0.27714444961546414,0.0006963917643639794
2024,8,0.2707807080278446,0.26844620858036616,0.002334499447478433
2024,9,0.231378225567975,0.23446401933695715,-0.003085793768982159
2024,10,0.157362709955565,0.1655249602438828,-0.008162250288317796
2024,11,0.0876852447592179,0.09188501313297084,-0.004199768373752938
2024,12,0.0588038224486453,0.0650824850890005,-0.006278662640355197
2025,1,0.0533461269938986,0.05219431207708034,0.0011518149168182612
2025,2,0.0467483572433598,0.0517091289415844,-0.004960771698224599
2025,3,0.0669511791772726,0.06729030014547376,-0.00033912096820115645
2025,4,0.103498330009575,0.09831379439539034,0.005184535614184652
2025,5,0.1802680968546388,0.17756137058226446,0.002706726272374338
2025,6,0.2500837573242989,0.26056014177325376,-0.010476384448954879
2025,7,0.2819993478521487,0.27714444961546414,0.004854898236684557
2025,8,0.2739314563824159,0.26844620858036616,0.005485247802049731
2025,9,0.2328467696719234,0.23446401933695715,-0.0016172496650337653
2025,10,0.1731804586135951,0.1655249602438828,0.007655498369712299
2025,11,0.0941044581756104,0.09188501313297084,0.002219445042639559
2025,12,0.0601604213869356,0.0650824850890005,-0.004922063702064897
