date,ndvi
2021-01-01,0.2780213812612211
2021-02-01,0.261392856854279
2021-03-01,0.2443617639409872
2021-04-01,0.2309187494758951
2021-05-01,0.2349596167379605
2021-06-01,0.249944281983847
2021-07-01,0.3499571014051296
2021-08-01,0.364315081520756
2021-09-01,0.3769522319823489
2021-10-01,0.3678971954116494
2021-11-01,0.3350527223007852
2021-12-01,0.3085836971575477
2022-01-01,0.2913252876171657
2022-02-01,0.2648370637335375
2022-03-01,0.2504644411128349
2022-04-01,0.2282024293586392
2022-05-01,0.2354230519847797
2022-06-01,0.2198839022378119
2022-07-01,0.2851355334674053
2022-08-01,0.3236400621833606
2022-09-01,0.364435260905309
2022-10-01,0.3828520337580124
2022-11-01,0.3437730513296096
2022-12-01,0.3113921995853747
2023-01-01,0.2893496370721
2023-02-01,0.2711401487455127
2023-03-01,0.2483006089440157
2023-04-01,0.2446626292775947
2023-05-01,0.2401361791828949
2023-06-01,0.261420677531813
2023-07-01,0.282565141015655
2023-08-01,0.3144251532970771
2023-09-01,0.3368864079651337
2023-10-01,0.330426067086442
2023-11-01,0.3286658546367415
2023-12-01,0.3199121560665741
2024-01-01,0.2947568875990063
2024-02-01,0.2856108564060691
2024-03-01,0.2614336044615021
2024-04-01,0.2357406206010809
2024-05-01,0.2135033514832499
2024-06-01,0.1966065908801262
2024-07-01,0.3079422485268835
2024-08-01,0.3594095432214764
2024-09-01,0.3562856350513649
2024-10-01,0.3472695344664786
2024-11-01,0.3332401544428256
2024-12-01,0.3014470238436137
2025-01-01,0.276476508454489
2025-02-01,0.2626634173721837
2025-03-01,0.2523770522418673
2025-04-01,0.2375024820194509
2025-05-01,0.2210019525437072
2025-06-01,0.2137550103085387
2025-07-01,0.3565528336785714
2025-08-01,0.3594560287548617
2025-09-01,0.3818044979520479
2025-10-01,0.3673922918294833
2025-11-01,0.3411451422494895
2025-12-01,0.29509764871313
